Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 95.98     22.44    22.44    41959     0.53     0.53  conv2d(Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, int)
  1.33     22.75     0.31   149979     0.00     0.00  Eigen::internal::general_matrix_vector_product<long, std::complex<float>, Eigen::internal::const_blas_data_mapper<std::complex<float>, long, 1>, 1, false, std::complex<float>, Eigen::internal::const_blas_data_mapper<std::complex<float>, long, 0>, false, 0>::run(long, long, Eigen::internal::const_blas_data_mapper<std::complex<float>, long, 1> const&, Eigen::internal::const_blas_data_mapper<std::complex<float>, long, 0> const&, std::complex<float>*, long, std::complex<float>)
  1.20     23.03     0.28      592     0.47    38.38  Conv2D::forward_naive(std::vector<Eigen::Matrix<float, -1, -1, 1, -1, -1>, Eigen::aligned_allocator<Eigen::Matrix<float, -1, -1, 1, -1, -1> > > const&) const
  0.43     23.13     0.10      777     0.13     0.13  conv1d(Eigen::Matrix<float, 1, -1, 1, 1, -1>&, Eigen::Matrix<float, 1, -1, 1, 1, -1>&, int)
  0.38     23.22     0.09        2    45.00    45.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<float*, int, int>*, std::vector<std::tuple<float*, int, int>, std::allocator<std::tuple<float*, int, int> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<modelOutput2Notes(Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, bool)::{lambda(std::tuple<float*, int, int> const&, std::tuple<float*, int, int> const&)#1}> >(__gnu_cxx::__normal_iterator<std::tuple<float*, int, int>*, std::vector<std::tuple<float*, int, int>, std::allocator<std::tuple<float*, int, int> > > >, __gnu_cxx::__ops::_Iter_comp_iter<modelOutput2Notes(Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, bool)::{lambda(std::tuple<float*, int, int> const&, std::tuple<float*, int, int> const&)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<modelOutput2Notes(Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, bool)::{lambda(std::tuple<float*, int, int> const&, std::tuple<float*, int, int> const&)#1}>)
  0.17     23.26     0.04        1    40.00   130.00  modelOutput2Notes(Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, bool)
  0.13     23.29     0.03      295     0.10     0.10  ReLU::forward(std::vector<Eigen::Matrix<float, -1, -1, 1, -1, -1>, Eigen::aligned_allocator<Eigen::Matrix<float, -1, -1, 1, -1, -1> > > const&) const
  0.13     23.32     0.03       88     0.34     5.34  CQ::computeCQT(Eigen::Matrix<float, 1, -1, 1, 1, -1> const&, bool)
  0.09     23.34     0.02      880     0.02     0.39  CQ::forward(Eigen::Matrix<float, 1, -1, 1, 1, -1> const&, int)
  0.09     23.36     0.02        3     6.67     6.67  concatMatrices(std::vector<Eigen::Matrix<float, -1, -1, 1, -1, -1>, Eigen::aligned_allocator<Eigen::Matrix<float, -1, -1, 1, -1, -1> > > const&, int)
  0.04     23.37     0.01   149574     0.00     0.00  void Eigen::internal::gemv_dense_selector<2, 1, true>::run<Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<float>, -1, -1, 1, -1, -1> > const>, Eigen::Transpose<Eigen::Matrix<std::complex<float>, 1, -1, 1, 1, -1> const>, Eigen::Transpose<Eigen::Matrix<std::complex<float>, 1, -1, 1, 1, -1> > >(Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<float>, -1, -1, 1, -1, -1> > const> const&, Eigen::Transpose<Eigen::Matrix<std::complex<float>, 1, -1, 1, 1, -1> const> const&, Eigen::Transpose<Eigen::Matrix<std::complex<float>, 1, -1, 1, 1, -1> >&, Eigen::Transpose<Eigen::Matrix<std::complex<float>, 1, -1, 1, 1, -1> >::Scalar const&)
  0.04     23.38     0.01                             col2im(Eigen::Matrix<float, -1, -1, 1, -1, -1> const&, int, int)
  0.00     23.38     0.00   332115     0.00     0.00  nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::get()
  0.00     23.38     0.00    39104     0.00     0.00  nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::scan()
  0.00     23.38     0.00    19103     0.00     0.00  nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::basic_json(nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> const&)
  0.00     23.38     0.00    18222     0.00     0.00  std::vector<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, std::allocator<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > >::reserve(unsigned long)
  0.00     23.38     0.00    16772     0.00     0.00  nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::scan_number()
  0.00     23.38     0.00    12912     0.00     0.00  loadWeights(std::vector<Layer*, std::allocator<Layer*> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     23.38     0.00     9754     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&)
  0.00     23.38     0.00     2940     0.00     0.00  nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::destroy(nlohmann::json_abi_v3_11_3::detail::value_t)
  0.00     23.38     0.00     2782     0.00     0.00  nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::json_value(nlohmann::json_abi_v3_11_3::detail::value_t)
  0.00     23.38     0.00     2672     0.00     0.00  std::vector<bool, std::allocator<bool> >::push_back(bool)
  0.00     23.38     0.00     2217     0.00     0.00  Note& std::vector<Note, std::allocator<Note> >::emplace_back<Note>(Note&&)
  0.00     23.38     0.00     1476     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > std::__find_if<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const> >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::random_access_iterator_tag)
  0.00     23.38     0.00     1065     0.00     0.00  void std::vector<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, std::allocator<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > >::_M_realloc_insert<nlohmann::json_abi_v3_11_3::detail::value_t>(__gnu_cxx::__normal_iterator<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>*, std::vector<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, std::allocator<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > > >, nlohmann::json_abi_v3_11_3::detail::value_t&&)
  0.00     23.38     0.00      881     0.00     0.00  reflectionPadding(Eigen::Matrix<float, 1, -1, 1, 1, -1> const&, int)
